USA Counties
 
ILLINOIS 

"Description","Data","Footnote","Unit"
"Number of returns 2008",5337800,"   ","ABS"
"Adjusted gross income 2008",330102093,"   ","TH$"
"Wages and salaries income 2008",252052790,"   ","TH$"
"Personal income 2000",400373280,"   ","TH$"
"Per capita personal income 2000",32190,"   ","DOL"
"Personal income 2007",526006,"   ","ML$"
"Per capita personal income 2007",41012,"   ","DOL"
"Resident population (April 1 - complete count) 2000",12419293,"   ","ABS"
"Resident population (April 1 - complete count) 2010",12830632,"   ","ABS"
"Population per square mile 2000",223.4,"   ","RTE"
"Population per square mile 2010",231.1,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",13.4,"   ","PCT"
"Resident total population estimate (July 1) 2009",12910409,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",490751,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",4,"   ","PCT"
"Population below poverty level 1999",1291958,"   ","ABS"
"Population below poverty level 2005-2009",1549172,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",71.5,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",14.5,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",4.6,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",15.8,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",131469518,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",165450520,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10446,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12947,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",96.2,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1840206,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",2033345,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",248777,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",273310,"2","ABS"
"Veterans - total 2005-2009",811879,"   ","ABS"
"Births per 1,000 population 2000",14.9,"   ","RTE"
"Births per 1,000 population 2007",14.2,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.7,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
