USA Counties
 
CONNECTICUT

"Description","Data","Footnote","Unit"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",13.4,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",41952682,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",52165480,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",12129,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",14953,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",94.8,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",577972,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",622167,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",48767,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",58257,"   ","ABS"
"Veterans - total 2005-2009",244700,"   ","ABS"
"Births per 1,000 population 2000",12.6,"   ","RTE"
"Births per 1,000 population 2007",11.9,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.6,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
