USA Counties
 
PENNSYLVANIA 

"Description","Data","Footnote","Unit"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",130713197,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",166842778,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10603,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13323,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",95.1,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",2356051,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",2577714,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",283785,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",358197,"2","ABS"
"Veterans - total 2005-2009",1049923,"   ","ABS"
"Births per 1,000 population 2000",11.9,"   ","RTE"
"Births per 1,000 population 2007",12,"   ","RTE"
"Infant deaths per 1,000 live births 2000",7.1,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.6,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
