USA Counties
 
NORTH CAROLINA 

"Description","Data","Footnote","Unit"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",1334478,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",16.6,"   ","PCT"
"Population below poverty level 1999",958667,"   ","ABS"
"Population below poverty level 2005-2009",1320816,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",68.5,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",21.5,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.4,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",88821486,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",114578173,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10686,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12641,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",95,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1351121,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1757135,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",191137,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",219570,"2","ABS"
"Veterans - total 2005-2009",741429,"   ","ABS"
"Births per 1,000 population 2000",14.9,"   ","RTE"
"Births per 1,000 population 2007",14.5,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",8.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
