USA Counties
 
OKLAHOMA 

"Description","Data","Footnote","Unit"
"Resident population (April 1 - complete count) 2010",3751351,"   ","ABS"
"Population per square mile 2000",50.3,"   ","RTE"
"Population per square mile 2010",54.7,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",5,"   ","PCT"
"Resident total population estimate (July 1) 2009",3687050,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",236412,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",6.9,"   ","PCT"
"Population below poverty level 1999",491235,"   ","ABS"
"Population below poverty level 2005-2009",572111,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",72.2,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",7.4,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",8.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.7,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.9,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",32112960,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",43095353,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9206,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11931,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",594155,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",705364,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",72204,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",93855,"   ","ABS"
"Veterans - total 2005-2009",326104,"   ","ABS"
"Births per 1,000 population 2000",14.4,"   ","RTE"
"Births per 1,000 population 2007",15.2,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",8.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
